Name|Description|Code|Image|Price|Sale Price|Category
Reese's Pieces Candy: 48-Ounce Bag|"
   
        <br><p id=""longDescription""></p>
<div>Delicious peanut butter and milk chocolate inside a crunchy candy shell! Assortment includes three colors: Yellow, Orange, and Brown.<br><br>
Bag contains 48 ounces of Reese's Pieces Candy....<br>
that's about 1,700 pieces.<br><br>
Shipping Weight ~ 4 lbs.  Kosher Certified.</div>
    "|131209|/assets/item/regular/reeses-pieces-candy-131209.jpg|19.50|""|Bulk Chocolates
M&M's Candy: 56-Ounce Bag|"
   
        <br><p id=""longDescription""></p>
    "|""|/assets/item/regular/M&Mparent.jpg|19.90|""|Bulk Chocolates
Truffettes de France French Chocolate Truffles: 240-Piece Box|"
   
        <br><p id=""longDescription""></p>
<div>Truffettes de France are the most exquisite chocolate truffles ever concocted. Made with the finest selected ingredients, each truffle is rolled in cocoa powder for a luscious finish. These truffles are the perfect treat for all occasions and certainly a very appreciated gift for the Holidays. Everyone will love their rich taste and intense flavor. Fall into the temptation and enjoy them with passion!<br><br>
Unit Price = $0.10/truffle.<br><br>
Box contains 240 Truffettes de France Chocolate Truffles.<br><br>
Made in France.<br><br>
Shipping Weight ~ 6 lbs. Kosher Certified.</div>
    "|127492|/assets/item/regular/truffettesdeFrance-choc-truffles-im-127492.jpg|24.00|""|Bulk Chocolates
Peanut Butter M&M's Candy: 50-Ounce Bag|"
   
        <br><p id=""longDescription"">Creamy peanut butter spheroids coated with milk chocolate and a colorful candy shell!<br><br>Bag contains 50 ounces of Peanut Butter M&amp;M's Candy.<br><br>Shipping Weight ~ 4 lbs.</p>
    "|127690|/assets/item/regular/icon-127690.jpg|19.90|""|Bulk Chocolates
Gourmet Milk Chocolate Peanut Butter Malt Balls: 8LB Case|"
   
        <br><p id=""longDescription""></p>
<div>From the creator of the original Peanut Butter Malt Ball. The most delectable malt ball you will ever taste! These handmade 1 inch diameter malt balls are layered in 1/8 inch of gourmet peanut butter and 1/8 inch of Ghirardelli milk chocolate. Absolute oral ecstasy!<br><br>
There are approximately 35 pieces per pound.<br><b>Ball Diameter:</b> 1 Inch<br><br>
Unit Price = $6.20/lb.<br><br>
Case contains 8 pounds of Gourmet Milk Chocolate Peanut Butter Malt Balls Candy. Made in the USA.<br><br>
Shipping Weight ~ 9 lbs. Kosher Certified.</div>
    "|127994|/assets/item/regular/chocolate-covered-peanut-butter-malt-balls-127994-w.jpg|49.60|""|Bulk Chocolates
Gourmet Milk Chocolate Malt Balls: 8LB Case|"
   
        <br><p id=""longDescription""></p>
<div>Gourmet milk chocolate malt balls made from the finest ingredients available. Decadent chocolate engulfs your mouth as you enjoy the crunchy malt center.... quite possibly the perfect taste sensation!<br><br>
There are approximately 65 pieces per pound.<br><b>Ball Diameter:</b> 1 Inch<br><br>
Unit Price = $6.20/lb.<br><br>
Case contains 8 pounds of Gourmet Milk Chocolate Covered Malt Balls Candy. Made in the USA.<br><br>
Shipping Weight ~ 9 lbs. Kosher Certified.</div>
    "|125755|/assets/item/regular/chocolate-covered-malt-balls-125755.jpg|49.60|""|Bulk Chocolates
Gourmet Milk Chocolate Almonds: 10LB Case|"
   
        <br><p id=""longDescription""></p>
<div>The finest, freshest California almonds are smothered in rich milk chocolate to create these decadent delights!<br><br>
There are approximately 80 pieces per pound.<br><strong>Candy Length:</strong> 1.25 Inch<br><br>
Unit Price = $6.95/lb.<br><br>
Case contains 10 pounds of Gourmet Milk Chocolate Covered Almonds. Made in the USA.<br><br>
Shipping Weight ~ 11 lbs. Kosher Certified.</div>
    "|125751|/assets/item/regular/milk-chocolate-covered-almonds-125751.jpg|69.50|""|Bulk Chocolates
Pretzel M&M's Candy: 9.9-Ounce Bag|"
   
        <br><p id=""longDescription""></p>
<div>
<b>SALE: 50% OFF!</b><br><br>
Crunchy pretzel nuggets are smothered in rich milk chocolate and then coated with colorful candy shells to create this unique treat featuring a combination of salty and sweet!<br><br>
Bag contains 9.9 ounces of Pretzel M&amp;M's Candy.... about 115 pieces.<br><br>
Shipping Weight ~ 3/4 lb.</div>
    "|126322|/assets/item/regular/image-126322.jpg|5.00|2.50|Bulk Chocolates
Gourmet Milk Chocolate Cashews: 10LB Case|"
   
        <br><p id=""longDescription"">Fresh, plump California cashews are smothered in rich milk chocolate to create these sensational gourmet treats!<br><br>There are approximately 100 pieces per pound.<br><br>Unit Price = $5.95/lb.<br><br>Case contains 10 pounds of Gourmet Milk Chocolate Cashew Nuts.<br>Made in the USA.<br><br>Shipping Weight ~ 11 lbs. Kosher Certified.</p>
    "|125752|/assets/item/regular/milk-chocolate-covered-cashews-125752.jpg|59.50|""|Bulk Chocolates
Milk Chocolate Covered Gummi Bears: 8LB Tub|"
   
        <br><p id=""longDescription""></p>
<div>Delicious milk chocolate-covered gummi bears packed in resealable plastic tubs. Awaken your taste buds from hibernation!<br><br>
Unit Cost = $8.60/lb.<br><br>
Resealable plastic tub contains 8 pounds of Milk Chocolate Covered Gummy Bears Candy. Made in Sweden.<br><br>
Shipping Weight ~ 10 lbs.</div>
    "|128118|/assets/item/regular/milk-choc-covered-gummi-bears-icon-128118-im.jpg|68.80|""|Bulk Chocolates
