ID|Name|Description|Brand|Category|Link|ImageLink|Price|SalePrice|Availability|Rating|ReleaseDate
2331|100 Grand Candy Bars: 36-Piece Box|"<br><p id=""longDescription""></p> <div>Classic 100 Grand candy bars made from a delectable conglomeration of chewy caramel, milk chocolate, and crispy crunchies from Nestle.<br> Great promotional candy bar to flaunt your big bucks!<br><br> Unit Price = $1.00/bar.<br><br> Display box contains 36 100 Grand Candy Bars, each with a net weight of 1.5 ounces.<br><br> Shipping Weight ~ 5 lbs. Kosher Certified.</div>"|Canary|Candy Bars & Checkout Stand Candy|http://canary.dev/products/2331|http://www.candywarehouse.com//assets/item/regular/image-125005.jpg|36.0||Y|4|1987-07-26 08:45:57
2340|3 Musketeers Candy Bars: 36-Piece Box|"<br><p id=""longDescription"">Ahhh...the savoriness of the simple, but satisfying combination of chewy nougat and sweet chocolate! <br><br>Unit Price = $1.00/bar.<br><br>Box contains 36 yummy 3 Musketeers Candy Bars.<br><br>Shipping Weight ~ 5 lbs. Kosher Certified.</p>"|Canary|Candy Bars & Checkout Stand Candy|http://canary.dev/products/2340|http://www.candywarehouse.com//assets/item/regular/image-127610.jpg|36.0||Y|5|1983-03-10 21:56:34
2545|AirHeads Taffy Candy Bars: 90-Piece Box|"<br><p id=""longDescription""></p> <div>Yummy taffy sticks in an assortment of 6 fruity flavors:<br><b>Cherry<br> Watermelon<br> White Mystery<br> Blue Raspberry<br> Pink Lemonade<br> Orange</b><br><br> Unit Price = $0.25/bar.<br><br> Each box contains 90 AirHeads Taffy Bars.<br><br> Shipping Weight ~ 3 lbs.</div>"|Canary|Taffy|http://canary.dev/products/2545|http://www.candywarehouse.com//assets/item/regular/airheads-im-127096.jpg|22.5||Y|1|2009-03-21 12:59:42
2740|All Natural Blue Dark Chocolate Malt Balls Candy: 5LB Bag|"<br><p id=""longDescription""></p> <div>Large, crunchy malted milk balls are smothered in a thick layer of decadent dark chocolate and coated with a candy shell of an iridescent blue color!<br><br> There are approximately 50 pieces per pound.<br><b>Ball Diameter:</b> 1 Inch<br><br> Unit Price = $11.90/lb.<br><br> Bag contains 5 pounds of All Natural Blue Dark Chocolate Malted Milk Balls Candy. Made in the USA.<br><br> Shipping Weight ~ 6 lbs.</div>"|Canary|All Natural & Organic Candy|http://canary.dev/products/2740|http://www.candywarehouse.com//assets/item/regular/image-130098.jpg|59.5||Y|5|1987-12-08 12:11:45
2745|All Natural Dark Chocolate Jordan Almonds: 5LB Bag|"<br><p id=""longDescription""></p> <div>Plump almonds are surrounded in rich dark chocolate and then encased in an assortment of pastel colored candy coatings. Only natural ingredients are used.... no artificial colors.<br><br> There are approximately 75 pieces per pound.<br><b>Candy Dimensions (Inches):</b> 1 x 1/2<br><br> Unit Price = $11.90/lb.<br><br> Bag contains 5 pounds of All Natural Chocolate Jordan Almonds Candy. Made in the USA.<br><br> Shipping Weight ~ 6 lbs. Kosher Certified.</div>"|Canary|All Natural & Organic Candy|http://canary.dev/products/2745|http://www.candywarehouse.com//assets/item/regular/image-130807.jpg|59.5||Y|3|1976-05-30 04:52:42
2439|All Natural Jelly Beans - Gourmet Flavor Mix: 5LB Case|"<br><p id=""longDescription""></p> <div>Gourmet jelly beans made with all natural ingredients. NO ARTIFICIAL COLORS OR FLAVORS! This delicious assortment of Jelly Beans is made in California with fresh fruit juices and vegetable extracts for coloring. Flavors include: <b>Apple, Lemon, Orange, Peach, Strawberry, Blueberry, Grape, Black Cherry, and Pomegranate.</b><br><br> There are approximately 400 pieces per pound.<br><br> Unit Price = $7.90/lb.<br><br> Case contains 5 pounds of Assorted Flavors Gourmet All Natural Jelly Beans. Made in the USA.<br><br> Shipping Weight ~ 6 lbs.</div>"|Canary|All Natural & Organic Candy|http://canary.dev/products/2439|http://www.candywarehouse.com//assets/item/regular/image-130540.jpg|39.5||Y|3|1973-07-27 01:09:25
2739|All Natural Pink Dark Chocolate Malt Balls Candy: 5LB Bag|"<br><p id=""longDescription""></p> <div>An iridescent pink candy coating surrounds a thick layer of rich dark chocolate and a crunchy malt ball center!<br><br> There are approximately 50 pieces per pound.<br><b>Ball Diameter:</b> 1 Inch<br><br> Unit Price = $11.90/lb.<br><br> Bag contains 5 pounds of All Natural Pink Dark Chocolate Malted Milk Balls Candy. Made in the USA.<br><br> Shipping Weight ~ 6 lbs.</div>"|Canary|All Natural & Organic Candy|http://canary.dev/products/2739|http://www.candywarehouse.com//assets/item/regular/image-130096.jpg|59.5||Y|4|2004-03-02 21:07:53
2742|All Natural White Chocolate Malt Balls Candy: 5LB Bag|"<br><p id=""longDescription""></p> <div>Keep your eye on the White Chocolate Malt Ball. It's everything a chocolate-covered malt ball ever was, with the added goodness of all-natural ingredients. Plus, the extra coating of white chocolate means more than an added layer of delicious, but a decorative treat at weddings or bridal showers too.<br><br> There are approximately 50 pieces per pound.<br><b>Ball Diameter:</b> 1 Inch<br><br> Unit Price = $11.90/lb.<br><br> Bag contains 5 pounds of All Natural White Chocolate Malted Milk Balls Candy. Made in the USA.<br><br> Shipping Weight ~ 6 lbs.<br><br><b>DISCLAIMER:</b> Color may vary from photographs. Manufacturing process often differs slightly with every batch. NO REFUNDS for COLOR variance.</div>"|Canary|All Natural & Organic Candy|http://canary.dev/products/2742|http://www.candywarehouse.com//assets/item/regular/image-130093.jpg|59.5||Y|1|1999-05-09 03:16:14
2741|All Natural Yellow Dark Chocolate Malt Balls Candy: 5LB Bag|"<br><p id=""longDescription""></p> <div>An iridescent yellow candy coating surrounds a thick layer of rich dark chocolate and a crunchy malt ball center!<br><br> There are approximately 50 pieces per pound.<br><b>Ball Diameter:</b> 1 Inch<br><br> Unit Price = $11.90/lb.<br><br> Bag contains 5 pounds of All Natural Yellow Dark Chocolate Malted Milk Balls Candy. Made in the USA.<br><br> Shipping Weight ~ 6 lbs.</div>"|Canary|All Natural & Organic Candy|http://canary.dev/products/2741|http://www.candywarehouse.com//assets/item/regular/image-130097.jpg|59.5||Y|3|1994-02-19 11:52:42
2736|Angry Lemon Sour Hard Candy Balls: 2.79-Ounce Bag|"<br><p id=""longDescription"">When life gives you lemons, make lemon-faces— like the one on the front of this bag of Lion Angry Lemons. These Japanese lemon hard candies resemble the classic American Lemonhead, exception being that each bag comes in four degrees of pucker-face sour. The mildest is a light-hearted lemony sweet, each candy progressing its mouth-scrunching potential until the ultimate face-sucker, a full-on red lemon head.<br><br><b>Ball Diameter:</b> 3/4 Inch<br><br>Bag contains 2.79 ounces of Angry Lemon Sour Hard Candy Balls.<br><br>Made in Japan.<br><br>Shipping Weight ~ 1/4 lb. </p>"|Canary|Asian Candy|http://canary.dev/products/2736|http://www.candywarehouse.com//assets/item/regular/image-130111.jpg|5.0||Y|2|1980-06-11 17:11:06
2808|Assorted 1-Inch Gumballs: 850-Piece Case|"<br><p id=""longDescription""></p> <div>Yummy bubble gum gumballs in an assortment of 8 fresh and fruity flavors:<br><b>Blueberry, Strawberry, Banana, Grape, Cherry, Lime, Pineapple, and Orange.</b><br> The most popular gumball for 25 cent vending machines!<br><br><b>Gumball Diameter:</b> 1 Inch<br><br> Case contains 850 pieces of Gumballs Candy in Assorted Colors.<br><br> Made in Canada.<br><br> Shipping Weight ~ 16 lbs. Kosher Certified.</div>"|Canary|Bubble Gum Gumballs|http://canary.dev/products/2808|http://www.candywarehouse.com//assets/item/regular/image-125056.jpg|49.5||Y|4|1987-09-02 02:04:52
2809|Assorted Colors 1-1/8-Inch Gumballs: 600-Piece Case|"<br><p id=""longDescription""></p> <div>Tender, chewy spheres in a rainbow of colors!<br><br><b>Gumball Diameter:</b> 1 1/8 Inch<br><br> Unit Price = $0.10/gumball.<br><br> Case contains 600 Assorted Colors Gumballs.<br><br> Made in Canada.<br><br> Shipping Weight ~ 19 lbs.</div>"|Canary|Bubble Gum Gumballs|http://canary.dev/products/2809|http://www.candywarehouse.com//assets/item/regular/gumballs-125006.jpg|60.0||Y|1|1983-03-21 17:46:54
2383|Assorted Colors 1/2-Inch Gumballs: 53-Ounce Tub|"<br><p id=""longDescription""></p> <div> <b>SALE: 33% OFF!</b><br><br> Perfect for filling gumball machines, this assortment of Dubble Bubble gumballs includes eight fabulous colors and flavors: Strawberry, Pineapple, Blueberry, Lemon-Lime, Orange, Cherry, Banana, and Grape.<br><br><b>Gumball Diameter:</b> 1/2 Inch<br><br> Tub contains 53 ounces of Assorted Gumballs...about 675 pieces.<br><br> Shipping Weight ~ 5 lbs. Made in Canada.</div>"|Canary|Bubble Gum Gumballs|http://canary.dev/products/2383|http://www.candywarehouse.com//assets/item/regular/image-125003.jpg|18.0|12.0|Y|1|1983-03-01 03:45:06
2805|Assorted Colors 1/2-Inch Gumballs: 5800-Piece Case|"<br><p id=""longDescription""></p> <div>GUMBALLS! Keep your machine filled with yummy, fresh gumballs in an assortment of 8 fabulous flavors:<br><strong>Strawberry</strong><br><strong>Pineapple</strong><br><strong>Blueberry</strong><br><strong>Lemon-Lime</strong><br><strong>Orange</strong><br><strong>Cherry</strong><br><strong>Banana</strong><br><strong>Grape</strong><br><br><b>Gumball Diameter:</b> 1/2 Inch<br><br> Case contains 5,800 Assorted Colors Gumballs.<br><br> Made in Canada.<br><br> Shipping Weight ~ 22 lbs.</div>"|Canary|Bubble Gum Gumballs|http://canary.dev/products/2805|http://www.candywarehouse.com//assets/item/regular/Gumballs-ff-126907.jpg|69.5||Y|4|1988-07-29 10:32:44
2807|Assorted Colors 3/4-Inch Gumballs: 1900-Piece Case|"<br><p id=""longDescription"">Chomp on these yummy gumballs for a bubble-blowing bonanza!<br><br><b>Gumball Diameter:</b> 3/4 Inch<br><br>Case contains 1,900 Assorted Colors Gumballs.<br><br>Made in Canada.<br><br>Shipping Weight ~ 18 lbs.</p>"|Canary|Bubble Gum Gumballs|http://canary.dev/products/2807|http://www.candywarehouse.com//assets/item/regular/gumballs-128170.jpg|59.5||Y|2|1978-09-22 21:14:41
2804|Assorted Colors 3/8-Inch Gumballs: 8500-Piece Case|"<br><p id=""longDescription""></p> <div>Teensy, baby gumballs that will make you smile with their sweet flavors!<br><br><b>Gumball Diameter:</b> 3/8 Inch<br><br> Unit Price = $0.01/gumball.<br><br> Case contains 8,500 Assorted Colors Gumballs.<br><br> Made in Canada.<br><br> Shipping Weight ~ 25 lbs.</div>"|Canary|Bubble Gum Gumballs|http://canary.dev/products/2804|http://www.candywarehouse.com//assets/item/regular/gumballs-126908.jpg|85.0||Y|5|2007-07-10 12:44:11
2806|Assorted Colors 5/8-Inch Gumballs: 3650-Piece Case|"<br><p id=""longDescription"">Work out with bubblegum .... chew a few thousand of these colorful gumballs to develop a nice tone in your jaw muscles!<br><br><b>Gumball Diameter:</b> 5/8 Inch<br><br>Case includes 3,650 Assorted Colors Gumballs.<br><br>Made in Canada.<br><br>Shipping Weight ~ 19 lbs.</p>"|Canary|Bubble Gum Gumballs|http://canary.dev/products/2806|http://www.candywarehouse.com//assets/item/regular/gumballs-128168.jpg|59.5||Y|2|1992-03-09 06:05:23
